,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,BollingerB_10,Bollinger%b_10
32,2014-04-24,2192.769,2209.4539999999997,2190.474,2186.763,45058912.0,-4.194,-0.19,2198.7329999999997,2221.974,2205.887,51390683.2,57806407.6,64319607.4,0.05468702802114782,0.24077286328670972
33,2014-04-25,2195.815,2201.712,2167.826,2167.64,60245384.0,-22.648000000000003,-1.03,2187.402,2211.69,2206.492,53288160.8,54769356.4,63768119.8,0.05327344488718397,0.12772116580648785
34,2014-04-28,2165.7729999999997,2171.385,2134.969,2132.695,60485188.0,-32.857,-1.52,2176.946,2198.325,2205.643,54129542.4,54591375.2,63288075.6,0.05647053502992358,-0.010357632981635166
35,2014-04-29,2134.413,2159.379,2158.47,2131.783,48204932.0,23.500999999999998,1.1,2169.281,2191.226,2206.251,52351589.6,52590055.6,62925447.8,0.057027587835962554,0.23787039330603446
36,2014-04-30,2158.762,2164.175,2158.659,2153.124,45334624.0,0.18899999999999997,0.01,2162.08,2183.839,2206.028,51865808.0,51955717.2,62748858.8,0.0532007027837755,0.2832697940399192
37,2014-05-05,2152.59,2161.703,2156.47,2131.232,49344072.0,-2.189,-0.1,2155.279,2177.006,2204.815,52722840.0,52056761.6,61964099.6,0.04821296397026557,0.3043462353730968
38,2014-05-06,2151.388,2173.618,2157.328,2150.112,48086520.0,0.858,0.04,2153.179,2170.291,2204.431,50291067.2,51789614.0,60791624.0,0.038265182989145205,0.34391047241314365
39,2014-05-07,2151.472,2153.723,2137.3160000000003,2136.99,44607472.0,-20.012,-0.93,2153.649,2165.298,2202.024,47115524.0,50622533.2,60624703.2,0.04098423011760844,0.1846908047383399
40,2014-05-08,2132.036,2168.206,2135.496,2128.3179999999998,48332452.0,-1.82,-0.09,2149.054,2159.1679999999997,2196.933,47141028.0,49746308.8,58180369.8,0.03881140174074944,0.21752375557306697
41,2014-05-09,2138.84,2141.5589999999997,2133.05,2120.595,38183432.0,-2.4459999999999997,-0.12,2143.9320000000002,2153.006,2191.654,45710789.6,48788298.8,56771678.0,0.033876455354844924,0.22639377058839466
42,2014-05-12,2150.313,2184.3320000000003,2180.054,2139.4829999999997,83472560.0,46.143,2.16,2148.649,2151.964,2186.969,52536487.2,52629663.6,55218035.6,0.029773865070558278,0.9384142421625076
43,2014-05-13,2180.0589999999997,2185.0460000000003,2174.8520000000003,2167.7670000000003,64912520.0,-5.202000000000001,-0.24,2152.154,2152.666,2182.178,55901687.2,53096377.2,53932866.8,0.03143979347026568,0.8278043873440095
44,2014-05-14,2175.094,2184.221,2172.3720000000003,2168.9970000000003,48514208.0,-2.48,-0.11,2159.165,2156.407,2177.366,56683034.4,51899279.2,53245327.2,0.030988164582349695,0.7389189278903558
45,2014-05-15,2169.278,2171.453,2144.084,2142.3379999999997,46734032.0,-28.288,-1.3,2160.882,2154.968,2173.097,56363350.4,51752189.2,52171122.4,0.03178250048444219,0.3410854672360249
46,2014-05-16,2143.926,2150.5,2145.952,2132.186,42253196.0,1.868,0.09,2163.4629999999997,2153.697,2168.768,57177303.2,51444046.4,51699881.8,0.03211021768095709,0.38800054285172286
47,2014-05-19,2139.362,2139.362,2115.143,2105.7129999999997,42893608.0,-30.809,-1.44,2150.481,2149.565,2163.285,49061512.8,50799000.0,51427880.8,0.03922079122133914,0.09171310250596731
48,2014-05-20,2124.708,2131.567,2115.771,2110.72,37299684.0,0.628,0.03,2138.6639999999998,2145.409,2157.85,43538945.6,49720316.4,50754965.2,0.043535570026493185,0.18268210813861577
49,2014-05-21,2106.762,2136.1,2135.905,2096.514,38946040.0,20.134,0.95,2131.371,2145.268,2155.283,41625312.0,49154173.2,49888353.2,0.04364756166282159,0.4000071692181526
50,2014-05-22,2134.087,2160.909,2130.868,2128.8579999999997,46252736.0,-5.037,-0.24,2128.728,2144.805,2151.986,41529052.8,48946201.6,49346255.2,0.04413995966456762,0.35278480094166764
51,2014-05-23,2130.775,2148.583,2148.4139999999998,2128.663,37623104.0,17.546,0.82,2129.22,2146.341,2149.674,40603034.4,48890168.8,48839233.8,0.04345272398872592,0.5222217731321215
52,2014-05-26,2161.8920000000003,2165.4210000000003,2155.976,2147.445,39550656.0,7.562,0.35,2137.387,2143.9339999999997,2147.949,39934444.0,44497978.4,48563821.0,0.038292066378692674,0.6466862101993989
53,2014-05-27,2154.395,2160.027,2147.28,2145.752,35897172.0,-8.696,-0.4,2143.689,2141.177,2146.9210000000003,39653941.6,41596443.6,47346410.4,0.03277560835472471,0.5869712514342879
54,2014-05-28,2147.467,2171.172,2169.3520000000003,2142.007,50056260.0,22.072,1.03,2150.3779999999997,2140.875,2148.641,41875985.6,41750648.8,46824964.0,0.03169610644559735,0.9196669170806979
55,2014-05-29,2171.26,2178.092,2155.1639999999998,2154.925,44891556.0,-14.187999999999999,-0.65,2155.237,2141.9829999999997,2148.475,41603749.6,41566401.2,46659295.2,0.03277155180202142,0.6877811130796518
56,2014-05-30,2156.381,2166.907,2156.464,2146.218,43923864.0,1.3,0.06,2156.847,2143.034,2148.366,42863901.6,41733468.0,46588757.2,0.03381898629956261,0.6853088357630502
57,2014-06-03,2157.64,2168.995,2149.9179999999997,2149.291,41982952.0,-6.546,-0.3,2155.636,2146.511,2148.038,43350360.8,41642402.4,46220701.2,0.028486895587227667,0.555714515210706
58,2014-06-04,2149.407,2149.452,2128.274,2117.313,41817248.0,-21.644000000000002,-1.01,2151.834,2147.761,2146.585,44534376.0,42094158.8,45907237.6,0.02384391313705548,0.11946680802461457
59,2014-06-05,2126.607,2150.93,2150.6020000000003,2123.524,36477424.0,22.328000000000003,1.05,2148.084,2149.231,2147.25,41818608.8,41847297.2,45500735.2,0.022548694461214394,0.5282858710620506
60,2014-06-06,2149.214,2149.783,2134.716,2123.98,35738056.0,-15.886,-0.74,2143.995,2149.616,2147.2110000000002,39987908.8,40795829.2,44871015.4,0.021424692295164662,0.1764728073792065
61,2014-06-09,2128.225,2153.903,2134.281,2126.665,39311060.0,-0.435,-0.02,2139.558,2148.203,2147.272,39065348.0,40964624.8,44927396.8,0.023280103642826712,0.22162379926060263
62,2014-06-10,2138.6710000000003,2161.526,2161.268,2132.447,50507904.0,26.987,1.26,2141.828,2148.732,2146.333,40770338.4,42060349.6,43279164.0,0.024147050817120676,0.7416106759418317
63,2014-06-11,2156.151,2163.61,2160.766,2152.08,42563720.0,-0.502,-0.02,2148.327,2150.08,2145.629,40919632.8,42727004.4,42161724.0,0.025104508519754282,0.6979649956903329
64,2014-06-12,2156.761,2160.988,2153.41,2148.413,43025844.0,-7.356,-0.34,2148.888,2148.486,2144.68,42229316.8,42023962.8,41887305.8,0.021968568244606877,0.6043175169951897
65,2014-06-13,2150.987,2183.645,2176.242,2150.569,59252876.0,22.831999999999997,1.06,2157.1929999999998,2150.594,2146.288,46932280.8,43460094.8,42513248.0,0.027268536270094883,0.93735242140962
66,2014-06-16,2176.438,2196.343,2191.855,2174.277,63296876.0,15.613,0.72,2168.708,2154.133,2148.583,51729444.0,45397396.0,43565432.0,0.03649915483079277,0.9797743721596265
67,2014-06-17,2185.681,2185.681,2169.674,2168.445,49933664.0,-22.180999999999997,-1.01,2170.389,2156.109,2151.31,51614596.0,46192467.2,43917434.8,0.03742175124572828,0.6681246609565308
68,2014-06-18,2169.252,2172.549,2160.239,2158.4970000000003,49463896.0,-9.435,-0.43,2170.284,2159.305,2153.533,52994631.2,46957132.0,44525645.4,0.032686084991172266,0.5132291031405154
69,2014-06-19,2161.426,2166.407,2126.907,2119.498,53162644.0,-33.332,-1.54,2164.9829999999997,2156.936,2153.084,55021991.2,48625654.0,45236475.6,0.037701787253422846,0.13073442664847137
70,2014-06-20,2124.9629999999997,2137.034,2136.729,2120.8070000000002,42393720.0,9.822000000000001,0.46,2157.081,2157.137,2153.377,51650160.0,49291220.4,45043524.8,0.03726091323365646,0.24609495480013993
71,2014-06-23,2137.926,2147.2270000000003,2134.11,2132.4539999999997,41179256.0,-2.6189999999999998,-0.12,2145.532,2157.12,2152.661,47226636.0,49478040.0,45221332.4,0.03730139654672123,0.2140321426926483
72,2014-06-24,2131.686,2145.2129999999997,2144.821,2130.292,40164356.0,10.710999999999999,0.5,2140.561,2155.475,2152.104,45272774.4,48443685.2,45252017.4,0.037874323996952335,0.3694920461389194
73,2014-06-25,2141.726,2141.726,2133.371,2126.035,37666100.0,-11.45,-0.53,2135.188,2152.736,2151.408,42913215.2,47953923.2,45340463.8,0.039824921563995565,0.274125422287317
74,2014-06-26,2135.156,2151.114,2149.076,2134.891,44351168.0,15.705,0.74,2139.621,2152.302,2150.394,41150920.0,48086455.6,45055209.2,0.03988618999985341,0.4624169202676744
75,2014-06-27,2146.374,2159.526,2150.258,2138.927,52722896.0,1.182,0.06,2142.327,2149.7039999999997,2150.149,43216755.2,47433457.6,45446776.2,0.03674123630108803,0.5070141869084932
76,2014-06-30,2152.306,2168.221,2165.118,2152.306,54304188.0,14.86,0.69,2148.529,2147.03,2150.5820000000003,45841741.6,46534188.8,45965792.4,0.027058137384141534,0.8113488566766104
77,2014-07-01,2169.199,2171.15,2164.5589999999997,2157.133,53323100.0,-0.5589999999999999,-0.03,2152.476,2146.519,2151.314,48473490.4,46873132.4,46532799.8,0.025538187596448204,0.8290914343756284
78,2014-07-02,2163.998,2171.51,2170.867,2155.609,59685500.0,6.308,0.29,2159.976,2147.5820000000003,2153.4429999999998,52877370.4,47895292.8,47426212.4,0.028339952992451786,0.8825911349991007
